order_id,date,product_name,category,flavor,channel,region,units_sold,price_per_unit,cost_per_unit,discount_pct,revenue,total_cost,profit
PF-100062,2024-10-15,PulseFuel Mango Pump,Pump Formula,Mango,Amazon,Northeast,2,39.99,16.25,0.1,71.98,32.5,39.48
PF-100063,2024-09-27,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,West,5,43.99,19.1,0.0,219.95,95.5,124.45
PF-100064,2024-04-04,PulseFuel Mango Pump,Pump Formula,Mango,Retail,Northeast,3,39.99,16.25,0.03,116.37,48.75,67.62
PF-100065,2024-05-13,PulseFuel Mango Pump,Pump Formula,Mango,Website,Midwest,1,39.99,16.25,0.15,33.99,16.25,17.74
PF-100066,2025-07-28,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,West,6,42.99,18.5,0.05,245.04,111.0,134.04
PF-100067,2025-07-12,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,Midwest,7,42.99,18.5,0.15,255.79,129.5,126.29
PF-100068,2024-05-10,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,West,4,42.99,18.5,0.0,171.96,74.0,97.96
PF-100069,2025-01-01,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Website,Northeast,1,41.99,17.8,0.15,35.69,17.8,17.89
PF-100070,2025-09-27,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Retail,Northeast,1,38.99,15.9,0.0,38.99,15.9,23.09
PF-100071,2024-06-30,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Website,Midwest,2,24.99,9.5,0.1,44.98,19.0,25.98
PF-100072,2025-02-25,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Retail,West,2,24.99,9.5,0.03,48.48,19.0,29.48
PF-100073,2024-06-12,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Website,West,4,38.99,15.9,0.15,132.57,63.6,68.97
PF-100074,2024-08-15,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Retail,South,3,42.99,18.5,0.0,128.97,55.5,73.47
PF-100075,2024-08-16,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,South,6,42.99,18.5,0.0,257.94,111.0,146.94
PF-100076,2024-10-12,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Amazon,Midwest,2,41.99,17.8,0.1,75.58,35.6,39.98
PF-100077,2024-12-05,PulseFuel Variety Sample Pack,Sample Pack,Variety,Website,West,3,14.99,5.25,0.05,42.72,15.75,26.97
PF-100078,2025-08-17,PulseFuel Variety Sample Pack,Sample Pack,Variety,Website,Northeast,5,14.99,5.25,0.15,63.71,26.25,37.46
PF-100079,2024-12-19,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Website,Midwest,2,38.99,15.9,0.0,77.98,31.8,46.18
PF-100080,2025-01-29,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Website,Northeast,4,24.99,9.5,0.15,84.97,38.0,46.97
PF-100081,2024-01-02,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Retail,Midwest,3,43.99,19.1,0.05,125.37,57.3,68.07
PF-100082,2025-11-17,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,West,6,42.99,18.5,0.1,232.15,111.0,121.15
PF-100083,2025-09-30,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Retail,Midwest,6,41.99,17.8,0.03,244.38,106.8,137.58
PF-100084,2025-06-03,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Website,South,4,41.99,17.8,0.1,151.16,71.2,79.96
PF-100085,2025-07-21,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,West,2,42.99,18.5,0.05,81.68,37.0,44.68
PF-100086,2025-09-22,PulseFuel Mango Pump,Pump Formula,Mango,Website,West,4,39.99,16.25,0.1,143.96,65.0,78.96
PF-100087,2024-10-20,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Amazon,Midwest,3,41.99,17.8,0.05,119.67,53.4,66.27
PF-100088,2025-04-21,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Amazon,South,6,43.99,19.1,0.1,237.55,114.6,122.95
PF-100089,2024-06-22,PulseFuel Mango Pump,Pump Formula,Mango,Website,Midwest,7,39.99,16.25,0.1,251.94,113.75,138.19
PF-100090,2024-04-05,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Amazon,Midwest,6,24.99,9.5,0.0,149.94,57.0,92.94
PF-100091,2024-07-22,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,West,2,42.99,18.5,0.0,85.98,37.0,48.98
PF-100092,2025-04-11,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Amazon,Northeast,1,43.99,19.1,0.1,39.59,19.1,20.49
PF-100093,2025-01-28,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,Midwest,3,43.99,19.1,0.0,131.97,57.3,74.67
PF-100094,2024-04-19,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Website,West,3,38.99,15.9,0.15,99.42,47.7,51.72
PF-100095,2024-02-21,PulseFuel Mango Pump,Pump Formula,Mango,Retail,Northeast,2,39.99,16.25,0.0,79.98,32.5,47.48
PF-100096,2025-04-20,PulseFuel Mango Pump,Pump Formula,Mango,Retail,Midwest,1,39.99,16.25,0.03,38.79,16.25,22.54
PF-100097,2025-09-19,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Retail,South,3,24.99,9.5,0.05,71.22,28.5,42.72
PF-100098,2025-04-01,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Amazon,South,3,24.99,9.5,0.05,71.22,28.5,42.72
PF-100099,2024-09-10,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Website,West,2,24.99,9.5,0.15,42.48,19.0,23.48
PF-100100,2025-10-03,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Website,Midwest,1,41.99,17.8,0.05,39.89,17.8,22.09
PF-100101,2024-10-05,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Retail,Northeast,4,41.99,17.8,0.0,167.96,71.2,96.76
PF-100102,2024-08-24,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,Northeast,4,43.99,19.1,0.15,149.57,76.4,73.17
PF-100103,2025-02-21,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Website,Northeast,2,41.99,17.8,0.15,71.38,35.6,35.78
PF-100104,2025-02-02,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Amazon,Midwest,1,24.99,9.5,0.1,22.49,9.5,12.99
PF-100105,2025-01-24,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Retail,South,1,43.99,19.1,0.03,42.67,19.1,23.57
PF-100106,2025-03-05,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Amazon,West,5,43.99,19.1,0.0,219.95,95.5,124.45
PF-100107,2025-05-14,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Website,Northeast,2,41.99,17.8,0.1,75.58,35.6,39.98
PF-100108,2025-11-15,PulseFuel Mango Pump,Pump Formula,Mango,Website,Northeast,4,39.99,16.25,0.15,135.97,65.0,70.97
PF-100109,2024-05-10,PulseFuel Variety Sample Pack,Sample Pack,Variety,Amazon,West,6,14.99,5.25,0.1,80.95,31.5,49.45
PF-100110,2025-07-31,PulseFuel Mango Pump,Pump Formula,Mango,Website,South,2,39.99,16.25,0.15,67.98,32.5,35.48
PF-100111,2024-07-05,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,Northeast,2,42.99,18.5,0.1,77.38,37.0,40.38
PF-100112,2024-12-11,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Website,West,1,38.99,15.9,0.15,33.14,15.9,17.24
PF-100113,2024-09-15,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Website,Midwest,1,24.99,9.5,0.0,24.99,9.5,15.49
PF-100114,2024-12-24,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Website,West,1,41.99,17.8,0.0,41.99,17.8,24.19
PF-100115,2024-02-01,PulseFuel Variety Sample Pack,Sample Pack,Variety,Website,Northeast,4,14.99,5.25,0.05,56.96,21.0,35.96
PF-100116,2024-09-01,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Amazon,Midwest,3,42.99,18.5,0.0,128.97,55.5,73.47
PF-100117,2025-04-21,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Amazon,Northeast,3,38.99,15.9,0.1,105.27,47.7,57.57
PF-100118,2024-04-27,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Website,South,2,38.99,15.9,0.0,77.98,31.8,46.18
PF-100119,2024-11-15,PulseFuel Mango Pump,Pump Formula,Mango,Retail,South,3,39.99,16.25,0.05,113.97,48.75,65.22
PF-100120,2024-07-22,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Amazon,Midwest,4,42.99,18.5,0.0,171.96,74.0,97.96
PF-100121,2025-12-14,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Retail,Midwest,1,38.99,15.9,0.0,38.99,15.9,23.09
PF-100122,2025-08-02,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Website,South,2,38.99,15.9,0.1,70.18,31.8,38.38
PF-100123,2024-03-11,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,West,4,43.99,19.1,0.15,149.57,76.4,73.17
PF-100124,2024-04-18,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,West,5,43.99,19.1,0.15,186.96,95.5,91.46
PF-100125,2025-12-25,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,South,4,42.99,18.5,0.1,154.76,74.0,80.76
PF-100126,2025-09-22,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Amazon,South,1,24.99,9.5,0.05,23.74,9.5,14.24
PF-100127,2025-08-29,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Retail,West,1,41.99,17.8,0.0,41.99,17.8,24.19
PF-100128,2024-10-12,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Website,South,1,24.99,9.5,0.15,21.24,9.5,11.74
PF-100129,2024-12-10,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Retail,Northeast,2,42.99,18.5,0.0,85.98,37.0,48.98
PF-100130,2024-12-29,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Website,West,3,38.99,15.9,0.1,105.27,47.7,57.57
PF-100131,2025-07-23,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Retail,Northeast,4,42.99,18.5,0.05,163.36,74.0,89.36
PF-100132,2025-02-20,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Amazon,Midwest,6,43.99,19.1,0.1,237.55,114.6,122.95
PF-100133,2025-12-29,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Amazon,Northeast,2,43.99,19.1,0.0,87.98,38.2,49.78
PF-100134,2025-02-18,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Website,Midwest,4,38.99,15.9,0.15,132.57,63.6,68.97
PF-100135,2025-07-20,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,Midwest,6,43.99,19.1,0.1,237.55,114.6,122.95
PF-100136,2024-12-26,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Website,South,3,38.99,15.9,0.0,116.97,47.7,69.27
PF-100137,2024-07-16,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Amazon,West,5,41.99,17.8,0.1,188.96,89.0,99.96
PF-100138,2024-07-08,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Amazon,South,4,42.99,18.5,0.1,154.76,74.0,80.76
PF-100139,2025-06-21,PulseFuel Mango Pump,Pump Formula,Mango,Retail,West,2,39.99,16.25,0.03,77.58,32.5,45.08
PF-100140,2024-08-20,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Website,Midwest,5,41.99,17.8,0.05,199.45,89.0,110.45
PF-100141,2024-10-07,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,South,2,42.99,18.5,0.05,81.68,37.0,44.68
PF-100142,2025-10-15,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Website,West,4,24.99,9.5,0.1,89.96,38.0,51.96
PF-100143,2025-04-25,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,West,2,43.99,19.1,0.1,79.18,38.2,40.98
PF-100144,2025-05-04,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,South,2,42.99,18.5,0.0,85.98,37.0,48.98
PF-100145,2024-06-04,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Amazon,South,5,42.99,18.5,0.0,214.95,92.5,122.45
PF-100146,2024-05-01,PulseFuel Mango Pump,Pump Formula,Mango,Website,Midwest,1,39.99,16.25,0.05,37.99,16.25,21.74
PF-100147,2025-06-19,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Retail,South,2,43.99,19.1,0.05,83.58,38.2,45.38
PF-100148,2025-03-15,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Amazon,Midwest,2,41.99,17.8,0.1,75.58,35.6,39.98
PF-100149,2024-04-11,PulseFuel Variety Sample Pack,Sample Pack,Variety,Website,Northeast,1,14.99,5.25,0.0,14.99,5.25,9.74
PF-100150,2024-06-09,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Amazon,Northeast,2,41.99,17.8,0.05,79.78,35.6,44.18
PF-100151,2025-04-06,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Website,Northeast,3,38.99,15.9,0.1,105.27,47.7,57.57
PF-100152,2025-12-24,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Retail,Northeast,1,41.99,17.8,0.0,41.99,17.8,24.19
PF-100153,2024-09-27,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Amazon,Midwest,4,38.99,15.9,0.0,155.96,63.6,92.36
PF-100154,2025-03-11,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,Northeast,5,42.99,18.5,0.1,193.46,92.5,100.96
PF-100155,2024-05-25,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,South,6,42.99,18.5,0.1,232.15,111.0,121.15
PF-100156,2025-03-25,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Amazon,Midwest,2,42.99,18.5,0.05,81.68,37.0,44.68
PF-100157,2025-05-27,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,Midwest,2,43.99,19.1,0.15,74.78,38.2,36.58
PF-100158,2024-11-26,PulseFuel Mango Pump,Pump Formula,Mango,Website,Northeast,1,39.99,16.25,0.0,39.99,16.25,23.74
PF-100159,2025-11-19,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Amazon,West,1,24.99,9.5,0.0,24.99,9.5,15.49
PF-100160,2025-04-26,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,South,5,43.99,19.1,0.15,186.96,95.5,91.46
PF-100161,2025-10-12,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Retail,South,3,24.99,9.5,0.03,72.72,28.5,44.22
PF-100162,2024-12-07,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Website,Northeast,2,41.99,17.8,0.15,71.38,35.6,35.78
PF-100163,2025-12-11,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Amazon,South,2,43.99,19.1,0.1,79.18,38.2,40.98
PF-100164,2024-02-07,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,South,4,43.99,19.1,0.15,149.57,76.4,73.17
PF-100165,2025-06-10,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Website,West,6,24.99,9.5,0.15,127.45,57.0,70.45
PF-100166,2025-02-27,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Amazon,Midwest,5,42.99,18.5,0.05,204.2,92.5,111.7
PF-100167,2025-10-02,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,South,4,43.99,19.1,0.05,167.16,76.4,90.76
PF-100168,2024-10-21,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Amazon,Northeast,3,43.99,19.1,0.1,118.77,57.3,61.47
PF-100169,2025-09-15,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Amazon,South,3,38.99,15.9,0.0,116.97,47.7,69.27
PF-100170,2025-07-19,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,West,1,43.99,19.1,0.0,43.99,19.1,24.89
PF-100171,2025-04-17,PulseFuel Variety Sample Pack,Sample Pack,Variety,Amazon,Northeast,5,14.99,5.25,0.1,67.45,26.25,41.2
PF-100172,2024-10-25,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,West,3,43.99,19.1,0.15,112.17,57.3,54.87
PF-100173,2024-09-06,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,Northeast,6,43.99,19.1,0.05,250.74,114.6,136.14
